,importance,feature
2119,0.023818054487592603,v50_v119_v61
228,0.023799917240475345,v75v107
17,0.02373327862627901,v61
2058,0.023673617542077387,v50_v93_v36
1637,0.023671805993295183,v123v14
2184,0.023617626895943905,v50_v93_v85
2201,0.023608709497617897,v50_v34_v17
1580,0.023530003785904165,v4v50
2262,0.0234422408211764,v50_v4_v55
2132,0.02342479131067874,v50_v51_v130
1759,0.02339362861410954,v12v119
2247,0.023343329085703253,v50_v76_v111
2363,0.023303006188577537,v50_v106_v101
1398,0.023234442757275292,v22_v66_v112_v125
1952,0.023233343682705975,v36v17
1805,0.022896687681946755,v85v48
179,0.022887614175864122,v71v38
2272,0.022851115475286756,v50_v44_v83
29,0.02282462272980715,v65
1721,0.022719663170499282,v61v21
2154,0.02262442450972368,v50_v14_v51
2065,0.02232616921530823,v50_v34_v119
1748,0.02231066557878703,v33v4
958,0.022146348498971253,v22_v31_v62_v71
1292,0.02196437286423825,v22_v62_v91_v75
2063,0.02183249996584382,v50_v12_v85
1622,0.021812411150692063,v130v10
2158,0.021753528215912095,v50_v4_v85
747,0.021645280191793823,v22_v66_v30_v24
2254,0.021573620450217577,v50_v130_v76
2330,0.021562024507509832,v50_v88_v65
8,0.021491485824549822,v123
2235,0.021402318708946513,v50_v48_v64
2143,0.021390542842281927,v50_v10_v83
1727,0.02131960606849708,v83v21
2033,0.02131466363661912,v50_v21_v64
2136,0.021298895053016964,v50_v85_v83
57,0.021294153767015364,v38v110
2162,0.021169707796155787,v50_v51_v65
2224,0.021152562064651003,v50_v48_v65
1953,0.021093897104532716,v111v17
147,0.021006655036480505,v107v62
2177,0.020954303950309266,v50_v34_v130
1778,0.020851467536464892,v65v119
1816,0.02077035131908925,v88v48
2106,0.020667718601380135,v50_v34_v48
2002,0.02061383617318166,v111v121
1644,0.02060923154115697,v85v14
1711,0.020587105787515332,v119v21
1781,0.020505356968231036,v106v123
1631,0.02045506897688971,v65v10
2012,0.020409295838276446,v50_v21_v119
2072,0.02039039645628449,v50_v48_v12
1600,0.02038046023996087,v88v50
2335,0.02036734816315278,v50_v61_v44
1661,0.020365684158183007,v4v34
732,0.020307775824710553,v22_v113_v62_v66
267,0.020188237449486977,v22_v110_v38
2314,0.02018636534231515,v50_v44_v76
1603,0.020151642120589806,v65v50
1354,0.02013082344291287,v22_v56_v30_v24
1597,0.020089186208697853,v83v50
487,0.019977431611697058,v22_v113_v56_v71
1179,0.019812284041094728,v22_v38_v24_v71
2171,0.01963017401446109,v50_v123_v93
1885,0.019564666411587564,v121v64
1596,0.01956362271995893,v55v50
1948,0.019558423490486095,v83v17
251,0.019492073063766265,v71v75
1901,0.019477706941417927,v88v101
2032,0.01946699565391659,v50_v21_v101
1896,0.019459110847919132,v33v101
2206,0.01942350036752692,v50_v34_v61
2189,0.01940579842178275,v50_v114_v123
2183,0.019394951382748007,v50_v64_v85
1907,0.019300230782228478,v17v85
2295,0.019253571913929277,v50_v64_v83
1743,0.019252524697942874,v51v4
1595,0.019191309523720154,v33v50
1962,0.01915917380598232,v36v44
1629,0.01911893520944549,v36v10
2347,0.019008119993898676,v50_v93_v17
1825,0.018995014113803346,v51v12
1712,0.018991147417510946,v123v21
2126,0.01894835385723665,v50_v51_v111
